A CASA DA MOSCA FOSCA;EVA MEJUTO;;;;
A CASA MAL ASSOMBRADA;JAN PIENKOWSKI;;;;
A CASINHA DE CHOCOLATE;JACOB GRIMM E WILHELM GRIMM;;;;
A CASINHA DE CHOCOLATE;JAKOB GRIMM E WILHELM GRIMM;;;;
A CASINHA DE TITA CAROCHINHA ;MARIA CAROLINA PEREIRA ROSA;;;;
A CIDADE DOS C«ES E OUTRAS HIST‡RIAS;LU÷SA DACOSTA;;;;
A CIGARRA E A FORMIGA;JEAN DE LA FONTAINE;;;;
A CIGARRA E A FORMIGA;LU÷SA DACOSTA;;;;
A COR DAS VOGAIS;VERG÷LIO ALBERTO VIEIRA;;;;
A CORAGEM DE TIÄ«O;LU÷S REPRESAS;;;;
A COTOVIA VIA... VIA? PORQUE EMIGRAM AS PESSOAS?;ANA MAFALDA DAMI«O;;;;
A DAMA E O VAGABUNDO;CHERYL HOLT;;;;
A DAMA E O VAGABUNDO;WALT DISNEY;;;;
A DE ANA;CATHERINE RAMBERT;;;;
A E I O U ? HIST‡RIA DAS CINCO VOGAIS;LU÷SA DACOSTA;;;;
A ERVA MILAGROSA;ROSA LOBATO FARIA;;;;
A ESCOLA DOS PIRATAS I;SIR STEVE STEVENSON;;;;
∑ ESPERA DO PAI NATAL;STEVE METZGER;;;;
A ESTRANHA VISITA;GRACIA IGLESIAS;;;;
A ESTRELA CADENTE  ;HOLLY LANSLEY;;;;
A ESTRELA DE LAURA;KLAUS BAUMGART;;;;
A ESTRELINHA PµLIDA;PEDRO SEROMENHO;;;;
A EXPLORAÄ«O DO ESPAÄO;DAVID SHAYLER;;;;
A FµBRICA DOS CORAÄÂES;ARTURO ABAD;;;;
A FADA CAROLINA;EMMA THOMSON;;;;
A FADA DO DENTINHO;JANEY LOUISE JONES;;;;
A FADA DOS DENTES;LU÷SA DACOSTA;;;;
A FADA DOS DENTES ;LU÷SA DACOSTA;;;;
A FADA ORIANA;SOPHIA DE MELLO BREYNER ANDRESEN;;;;
A FADA PALAVRINHA E O GIGANTE DAS BLIBLIOTECAS;LU÷SA DACOSTA;;;;
A FADA PARTIU A ASA;MUNDOS DE VIDA;;;;
A FAM÷LIA MONSTRO - A MALDIÄ«O DO OFELIAKROM;BRUNO MATOS;;;;
A FAM÷LIA MONSTRO - O TORNEIO DOS FEITICEIROS;BRUNO MATOS;;;;
A FAM÷LIA MONSTRO - O TORNEIO DOS FEITICEIROS ;BRUNO MATOS;;;;
A FAM÷LIA ROBINSON;JOHANN WYSS;;;;
A FAM÷LIA SOLUAS;MARIA DE LOURDES SOARES;;;;
A FAMOSA ESCOLA COR-DE-ROSA ;PEDRO LEIT«O;;;;
A FERA DO PALµCIO;DAVID WALLIAMS;;;;
A FESTA DE ANOS;LU÷SA DACOSTA;;;;
A FESTA DE ANOS DO TOMµS ;HELENA SIMAS;;;;
A FILHA DO GRUFAL«O;JULIA DONALDSON;;;;
A FILHA DO GRUFAL«O ;JULIA DONALDSON;;;;
A FLAUTA MARAVILHOSA;ANT‡NIO MOTA;;;;
A FLOR VAI VER O MAR;ALVES REDOL;;;;
A FLORESTA;SOPHIA DE MELLO BREYNER ANDRESEN;;;;
A FLORESTA;VALêRIE VIDEAU;;;;
A FORMIGA HORRIPILANTE;LIZ PICHON;;;;
A FORMIGUINHA DESCALÄA;MATILDE ROSA ARAÈJO;;;;
A FUGA DA ERVILHA;PEDRO SEROMENHO E PATR÷CIA FIGUEIREDO;;;;
A GALINHA DOS OVOS DE OIRO;WALT DISNEY;;;;
A GALINHA DOS OVOS DOURADOS;ANA MARIA MAGALH«ES;;;;
A GALINHA MEDROSA ;ANT‡NIO MOTA;;;;
A GALINHA RUIVA;ANT‡NIO TORRADO;;;;
A GALINHA RUIVA;LEO TIMMERS;;;;
A GANSA DOS OVOS DE OURO;HARPREET KAUR;;;;
A GARRAFA MµGICA ;SARA RODI;;;;
A GATA BORRALHEIRA;CHARLES PERRAULT;;;;
A GATA GATILDE;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A GATA TARECA E OUTROS POEMAS LEVADOS DA BRECA;LU÷SA DACOSTA;;;;
A GATINHA CELESTE;RUBêN PUJOL;;;;
A GATINHA DE NATAL;CAROLINE REPCHUCK;;;;
A GIGANTESCA PEQUENA COISA ;BEATRICE ALEMAGNA;;;;
A GIRAFA QUE COMIA ESTRELAS;JOSê EDUARDO AGUALUSA;;;;
A GIRAFA QUE QUERIA TER RISCAS;MARGARIDA JOSUê;;;;
A GRANDE BIRRA;TOM JAMIESON;;;;
A GRANDE FµBRICA DE PALAVRAS;AGN‘S DE LESTRADE;;;;
A GRANDE MISS«O;RITA GUAPO;;;;
A GRANDE RECOMPENSA;BARBARA O' CONNOR;;;;
A GRANDE VIAGEM ∑ VOLTA DO MUNDO;GERONIMO STILTON;;;;
A GUERRA DAS FADAS;HERBIE BRENNAN;;;;
A GUERRA DOS NÈMEROS;JUAN DARIêN;;;;
A HIST‡RIA DA CAROCHINHA;ISABEL PIZARRO MADUREIRA E LÈCIA VIDAL SOARES;;;;
A HIST‡RIA DA CAROCHINHA E DO INFELIZ DO JO«O RAT«O;ANT‡NIO TORRADO;;;;
A HIST‡RIA DA JÈLIA E DA SUA SOMBRA DE MENINO;CHRISTIAN BRUEL;;;;
A HIST‡RIA DA PAPOILA;LU÷SA DACOSTA;;;;
A HIST‡RIA DAS CINCO VOGAIS;LU÷SA DACOSTA;;;;
A HIST‡RIA DE D. CARLOS;RUI RAMOS;;;;
A HIST‡RIA DE UM BOT«O;MARIA JO«O CARVALHO;;;;
A HIST‡RIA DE VAN GOGH E O RAPAZ DOS GIRASS‡IS;LAURENCE ANHOLT;;;;
A HIST‡RIA DO NATAL;SêRGIO FRANCLIM;;;;
A HIST‡RIA DO PEDRITO COELHO;BEATRIX POTTER;;;;
A HIST‡RIA DO PEDRITO COELHO;BEATRIZ POTTER;;;;
A HIST‡RIA DO PLANETA TERRA;ABIGAIL WHEATLEY;;;;
A HORTA DO CHIC«O;RITA FREITAS;;;;
A HORTA DO SIM«O;ROC÷O ALEJANDRO;;;;
A ILHA DO AV‚;BENJI DAVIES;;;;
A ILHA DOS GUARDADORES DE ARANHAS;MARGARIDA ARAÈJO E JO«O HOFFMAN;;;;
A ILHA DOS PµSSAROS DOIDOS;CLARA PINTO CORREIA;;;;
A ILHA NEGRA ;HERGê;;;;
A INCR÷VEL FUGA DO MEU AV‚;DAVID WALLIAMS;;;;
A JOANINHA VAIDOSA;ANA MARIA MAGALH«ES E ISABEL ALÄADA;;;;
A LAGARTINHA MUITO COMILONA;CHRISTIAN VOLTZ;;;;
A LEBRE E A TARTARUGA;ANA OOM;;;;
A LENDA DOS TRIPEIROS;ANA OOM;;;;
A LINDA SUSANA E OUTRAS HIST‡RIAS;ANT‡NIO TORRADO;;;;
A MAIOR FLOR DO MUNDO;JOSê SARAMAGO;;;;
A MALA ASSOMBRADA;DAVID MACHADO;;;;
A MALDIÄ«O DA ESTRELA MORTA (CR‡NICAS DO VAMPIRO VALENTIM);ALVARO MAGALH«ES;;;;
A MAM« P‚S UM OVO;BABETTE COLE;;;;
A MANTA;ISABEL MINH‡S MARTINS;;;;
A MANTA DO JOSê ;MIGUEL GOUVEIA;;;;
A MµQUINA DE FAZER PALAVRAS;JOSê VAZ;;;;
A MARATONA MAIS LOUCA DO MUNDO!;GERONIMO STILRON;;;;
A MARATONA MAIS LOUCA DO MUNDO!;GERONIMO STILTON;;;;
A MARATONA MAIS LOUCA DO MUNDO! ;GERONIMO STILRON;;;;
A MARATONA MAIS LOUCO DO MUNDO! ;GERONIMO STILRON;;;;
A MARIANA E A LARA ZANGAM-SE;CHRISTIAN LAMBLIN;;;;
A MENINA COM OS OLHOS OCUPADOS;ANDRê CARRILHO;;;;
A MENINA DAS ROSAS;JO«O M. RIBEIRO;;;;
A MENINA DO MAR;SOPHIA DE MELLO BREYNER ANDRESEN;;;;
A MENINA E OS TR“S URSINHOS;VAIJAYANTI SAVANT TONPE ;;;;
A MENINA GOTINHA DE µGUA;PAPIANO CARLOS;;;;
A MENINA GOTINHA DE µGUA;PAPINIANO CARLOS;;;;
A MENINA QUE DESENHAVA CORAÄÂES;S‡NIA SOUSA;;;;
A MENINA QUE DETESTAVA LIVROS;MANJUSHA PAWAGI;;;;
A MENINA QUE N«O GOSTAVA DE FRUTA;CIDµLIA FERNANDES;;;;
A MENINA QUE N«O QUERIA LIVROS;LU÷SA DACOSTA;;;;
A MENINA QUE N«O SABIA CONTAR;ELISABETE PEREIRA;;;;
A MENINA QUE QUERIA SER MAÄ«;JOSê EDUARDO AGUALUSA;;;;   
A MENINA QUE SORRIA A DORMIR;ISABEL ZAMBUJAL;;;;
A MIGRAÄ«O DAS ALFORRECAS;RUI CERQUEIRA COELHO;;;;
A MINHA  ENCICLOPêDIA  DOS  ANIMAIS;STEPHANIE LEDU;;;;
A MINHA CASA ASSOMBRADA;ANGIE SAGE;;;;
A MINHA ESCOLA DAVA UM FILME;JR. RODRY;;;;
A MINHA M«E;ANTHONY BROWNE;;;;
A MINHA M«E ê A MELHOR DO MUNDO;MARIA JO«O LOPO DE CARVALHO;;;;
A MINHA PRIMEIRA BIBLIOTECA - O MUNDO EM QUE VIVEMOS  ;ROGêRIO MOREIRA;;;;
A MINHA PRIMEIRA ENCICLOPêDIA DE GEOGRAFIA;VµRIOS;;;;
A MINHA PRIMEIRA ENCICLOPêDIA DOS OCEANOS E DOS MARES;BEN DENNE;;;;
A MINHA PROFESSORA ê UM MONSTRO!;PETER BROWN;;;;
